PROJECT, SAMPLE_NUMBER, PROGRAM, SUB_PROGRAM, SAMPLING_POINT, SP_DESCRIPTION, SAMPLING_POINT_GROUP, CUSTOMER_SAMPLE_ID, QA_CODE, SAMPLED_BY, SAMPLED_DATE, RECD_DATE, RECEIPT_TEMP, REPORTED_NAME, COMPONENT, RESULT, UNITS, MRL, ANALYSIS_DATE, DEPTH, DEPTH_UNITS, COLLECT_TYPE, SAMPLE_NOTES, TEST_NOTES, RESULT_NOTES
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Cadmium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Antimony, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Barium, Dissolved",4.71,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Lead, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-01,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Uranium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681526-02,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.B,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Fluoride,1.29,mg/L,0.1,3/23/2022 5:11,0,,,,,
OWRB-001_1513,OWRB-1681526-02,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.B,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Chloride,21,mg/L,3,3/23/2022 5:11,0,,,,,
OWRB-001_1513,OWRB-1681526-02,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.B,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA300.0 Inorganic Anions,Bromide,<0.10,mg/L,0.1,3/23/2022 5:11,0,,,,,
OWRB-001_1513,OWRB-1681526-03,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.C,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA353.2 Nitrate/Nitrite,Nitrate/Nitrite as Nitrogen,<0.05,mg/L,0.05,3/16/2022 14:10,0,,,,,
OWRB-001_1513,OWRB-1681526-03,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.C,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA365.3M Dissolved Phosphorus,Dissolved Phosphorus,0.141,mg/L,0.01,3/23/2022 15:58,0,,,,,
OWRB-001_1513,OWRB-1681526-03,OWRB,GMAP,WELL_137398,137398,Antlers,5000130.02.C,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 9:06,3/16/2022 9:20,-0.3,EPA350.1 Ammonia as N,Ammonia as Nitrogen,0.36,mg/L,0.1,3/16/2022 13:41,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Calcium, Dissolved",35.7,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Magnesium, Dissolved",8.71,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Sodium, Dissolved",49.4,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Potassium, Dissolved",2.36,mg/L,0.5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Silicon as Silica, Dissolved",19.2,mg/L,0.05,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Boron, Dissolved",77.2,µg/L,20,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.7 Trace Elements,"Iron, Dissolved",240,µg/L,20,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Beryllium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Aluminum, Dissolved",<10.0,µg/L,10,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Vanadium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Chromium, Dissolved",1.64,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Manganese, Dissolved",169,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Cobalt, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Nickel, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Copper, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Zinc, Dissolved",<5.00,µg/L,5,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Arsenic, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
OWRB-001_1513,OWRB-1681527-01,OWRB,GMAP,WELL_23456,23456,Antlers,5000130.03.A,10 (General Environmental Sample),"ZDT, ZMM",3/15/2022 11:53,3/16/2022 9:20,-0.3,EPA200.8 Trace Elements,"Selenium, Dissolved",<1.00,µg/L,1,3/23/2022,0,,,,,
